time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2005-12-19T14:56:01.210Z,26.815,140.801,18.3,4.2,mb,16,116.5,,0.86,us,usp000e6eq,2014-11-07T01:27:55.011Z,"Bonin Islands, Japan region",earthquake,,,,4,reviewed,us,us
2005-12-19T13:52:00.400Z,26.515,141.414,35,4.4,mb,8,147.3,,0.94,us,usp000e6ej,2014-11-07T01:27:54.993Z,"Bonin Islands, Japan region",earthquake,,,,4,reviewed,us,us
2005-12-19T13:34:46.880Z,26.758,140.79,78.5,4.5,mb,37,61.5,,0.98,us,usp000e6eh,2014-11-07T01:27:54.981Z,"Bonin Islands, Japan region",earthquake,,11.8,,13,reviewed,us,us
2005-12-19T13:33:23.410Z,26.851,140.677,140.1,5,mwr,64,51.8,,1.18,us,usp000e6eg,2014-11-07T01:27:54.975Z,"Bonin Islands, Japan region",earthquake,,13.7,,,reviewed,us,nied
2005-12-19T03:05:09.160Z,32.387,141.823,100,3.5,m,5,158.5,,,us,usp000e6dq,2014-11-07T01:27:54.892Z,"Izu Islands, Japan region",earthquake,,,,,reviewed,jma,jma
2005-12-18T18:10:28.440Z,26.486,127.031,35,3.9,mb,5,141.4,,1.28,us,usp000e6cw,2014-11-07T01:27:54.815Z,"71 km WNW of Naha, Japan",earthquake,,,,1,reviewed,us,us
2005-12-18T13:06:04.190Z,43.843,146.891,134.4,3.9,mb,19,137,,0.75,us,usp000e6ck,2014-11-07T01:27:54.781Z,"14 km ENE of Shikotan, Russia",earthquake,,11.3,,4,reviewed,us,us
2005-12-18T09:45:37.620Z,24.055,122.477,36,4.1,mb,18,114.7,,0.7,us,usp000e6c9,2014-11-07T01:27:54.760Z,"69 km SW of Yonakuni, Japan",earthquake,,8,,4,reviewed,us,us
2005-12-17T14:08:58.360Z,39.015,141.557,68,4.2,mb,17,130.7,,1.18,us,usp000e6av,2014-11-07T01:27:54.596Z,"15 km WSW of ?funato, Japan",earthquake,,,,3,reviewed,us,us
2005-12-16T22:33:31.870Z,25.091,123.647,47,4.4,mb,14,99.5,,0.96,us,usp000e69r,2014-11-07T01:27:54.466Z,"95 km NE of Yonakuni, Japan",earthquake,,11.3,,4,reviewed,us,us
2005-12-16T18:32:16.420Z,38.506,141.9,42.9,6,mwc,407,49.3,,1.18,us,usp000e69b,2022-07-14T13:08:12.122Z,"53 km E of Ishinomaki, Japan",earthquake,,5.5,,,reviewed,us,hrv
2005-12-16T14:36:03.340Z,25.04,123.564,50.9,4,mb,7,99.7,,1.13,us,usp000e68p,2014-11-07T01:27:54.357Z,"85 km NE of Yonakuni, Japan",earthquake,,15.6,,2,reviewed,us,us
2005-12-15T07:41:39.400Z,29.456,129.777,55.2,4.9,mwc,114,102.4,,0.84,us,usp000e660,2016-11-10T01:15:49.668Z,"109 km SW of Yudomari, Japan",earthquake,,5,,,reviewed,us,hrv
2005-12-14T19:43:40.480Z,33.379,142.452,35.6,4.3,mb,20,136.5,,0.75,us,usp000e653,2014-11-07T01:27:53.645Z,"277 km SE of Katsuura, Japan",earthquake,,12.9,,3,reviewed,us,us
2005-12-14T01:19:46.340Z,33.115,137.035,379.3,4.7,mb,19,125.3,,0.46,us,usp000e63r,2014-11-07T01:27:53.458Z,"119 km SE of Shing?, Japan",earthquake,,4.8,,1,reviewed,us,us
2005-12-13T04:14:26.850Z,28.148,143.496,40.5,4.5,mb,48,72.3,,0.88,us,usp000e62g,2014-11-07T01:27:53.318Z,"Bonin Islands, Japan region",earthquake,,,,18,reviewed,us,us
2005-12-12T23:45:21.150Z,44.001,147.994,0,4.5,m,7,175.8,,,us,usp000e61x,2014-11-07T01:27:53.246Z,"104 km ENE of Shikotan, Russia",earthquake,,,,,reviewed,jma,jma
2005-12-12T23:16:48.730Z,28.837,128.084,197.2,4,mb,24,121.6,,0.74,us,usp000e61v,2014-11-07T01:27:53.242Z,"146 km WNW of Naze, Japan",earthquake,,5.5,,3,reviewed,us,us
2005-12-12T22:42:51.370Z,36.288,141.459,35,3.7,mb,5,286.7,,1.26,us,usp000e61u,2014-11-07T01:27:53.241Z,"78 km E of ?arai, Japan",earthquake,,,,1,reviewed,us,us
2005-12-12T21:01:40.630Z,43.206,139.329,26.4,5.4,mwb,493,38.6,,0.73,us,usp000e61q,2016-11-10T01:15:42.213Z,"99 km WNW of Iwanai, Japan",earthquake,,,,,reviewed,us,us
2005-12-12T09:37:27.500Z,42.17,142.547,55.3,4.3,mb,23,148.3,,0.92,us,usp000e611,2014-11-07T01:27:53.049Z,"23 km SE of Shizunai-furukawach?, Japan",earthquake,,10.3,,4,reviewed,us,us
2005-12-11T13:23:06.830Z,44.523,148.149,47.8,4.7,mb,82,85.9,,0.83,us,usp000e5zb,2014-11-07T01:27:52.759Z,"81 km SSE of Kuril’sk, Russia",earthquake,,8.1,,33,reviewed,us,us
2005-12-11T08:25:26.410Z,44.787,140.985,263.8,4.2,mb,55,119.9,,0.99,us,usp000e5yv,2014-11-07T01:27:52.693Z,"44 km SSW of Rishiri Town, Japan",earthquake,,6.6,,19,reviewed,us,us
2005-12-11T04:33:43.540Z,36.831,138.423,19.8,0,,8,132.9,,1.1,us,usp000e5yf,2014-11-07T01:27:52.584Z,"5 km ESE of Iiyama, Japan",earthquake,,15.4,,,reviewed,us,us
2005-12-10T23:52:43.760Z,35.008,137.141,20,4.7,mb,6,154,,0.12,us,usp000e5y5,2014-11-07T01:27:52.532Z,"eastern Honshu, Japan",earthquake,,,,1,reviewed,us,us
2005-12-10T21:00:01.530Z,26.886,140.717,43.3,4.8,mb,39,126.7,,1.25,us,usp000e5xu,2014-11-07T01:27:52.509Z,"Bonin Islands, Japan region",earthquake,,20.5,,11,reviewed,us,us
2005-12-10T15:21:25.600Z,26.708,142.351,24.3,4.7,mb,50,98.9,,0.69,us,usp000e5xf,2014-11-07T01:27:52.484Z,"Bonin Islands, Japan region",earthquake,,15.8,,19,reviewed,us,us
2005-12-10T10:02:52.540Z,31.005,138.292,474,3.9,m,9,134.1,,,us,usp000e5x4,2014-11-07T01:27:52.452Z,"Izu Islands, Japan region",earthquake,,,,,reviewed,jma,jma
2005-12-10T09:32:10.260Z,32.018,131.955,30.2,4.5,mwr,40,95.9,,1.14,us,usp000e5x1,2014-11-07T01:27:52.441Z,"44 km ESE of Takanabe, Japan",earthquake,,,,,reviewed,us,nied
2005-12-09T13:41:56.140Z,33.26,141.764,35,3.9,mb,6,158,,1.3,us,usp000e5uu,2014-11-07T01:27:52.093Z,"248 km SSE of Katsuura, Japan",earthquake,,,,1,reviewed,us,us
2005-12-09T01:45:10.250Z,24.836,122.503,120.9,0,,7,96.6,,0.48,us,usp000e5ty,2014-11-07T01:27:52.008Z,"64 km NW of Yonakuni, Japan",earthquake,,7.8,,,reviewed,us,us
