time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1990-03-03T05:11:33.720Z,32.097,139.619,142.5,5.2,mw,,,,0.9,us,usp0004642,2016-11-09T22:00:09.790Z,"292 km SSE of Shimoda, Japan",earthquake,,,,,reviewed,us,hrv
1990-03-04T06:04:00.280Z,28.543,139.802,466.1,4.2,mb,,,,1.1,us,usp000465v,2014-11-07T00:45:52.165Z,"Bonin Islands, Japan region",earthquake,,18.8,,10,reviewed,us,us
1990-03-04T12:57:40.880Z,44.68,140.972,253.2,4.4,mb,,,,0.8,us,usp0004665,2014-11-07T00:45:52.245Z,"56 km SSW of Rishiri Town, Japan",earthquake,,27.1,,7,reviewed,us,us
1990-03-05T20:55:24.150Z,29.224,141.848,33,5.1,mb,,,,1.4,us,usp000467r,2014-11-07T00:45:53.352Z,"Izu Islands, Japan region",earthquake,,,,9,reviewed,us,us
1990-03-05T21:02:42.890Z,35.35,135.477,368.7,4.5,mb,,,,0.7,us,usp000467s,2014-11-07T00:45:53.358Z,"17 km SE of Maizuru, Japan",earthquake,,6.8,,25,reviewed,us,us
1990-03-06T13:43:51.730Z,35.705,141,33,4.6,mb,,,,0.9,us,usp000468j,2014-11-07T00:45:53.705Z,"15 km ESE of Hasaki, Japan",earthquake,,,,1,reviewed,us,us
1990-03-06T21:11:08.240Z,42.632,140.982,155.9,4.5,mb,,,,1.1,us,usp0004692,2014-11-07T00:45:54.119Z,"20 km NNE of Date, Japan",earthquake,,7,,15,reviewed,us,us
1990-03-07T05:56:31.300Z,29.08,130.107,33,4.1,mb,,,,1,us,usp000469h,2014-11-07T00:45:54.180Z,"99 km NE of Naze, Japan",earthquake,,,,3,reviewed,us,us
1990-03-08T01:54:30.860Z,33.146,140.857,58.4,4.6,mb,,,,1.1,us,usp00046ak,2014-11-07T00:45:54.306Z,"223 km SSE of Tateyama, Japan",earthquake,,9.2,,9,reviewed,us,us
1990-03-08T02:08:38.520Z,29.202,142.222,33,4.9,mb,,,,1,us,usp00046an,2014-11-07T00:45:54.314Z,"Izu Islands, Japan region",earthquake,,,,24,reviewed,us,us
